Site,250m_16_days_EVI-0,50m_16_days_NDVI-0,Fpar_500m-0,Lai_500m-0,LST_Day_1km-0,LST_Night_1km-0,250m_16_days_EVI-1,50m_16_days_NDVI-1,Fpar_500m-1,Lai_500m-1,LST_Day_1km-1,LST_Night_1km-1,250m_16_days_EVI-2,50m_16_days_NDVI-2,Fpar_500m-2,Lai_500m-2,LST_Day_1km-2,LST_Night_1km-2,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
TXA2,0.03748176210311872,0.04855698163542602,0.04824040616786172,-0.11302071118924495,-0.6878948192677794,-0.8089621661276456,0.059553127814867324,0.07276788961671318,0.08120187801257696,0.08028404632098413,-4.255941890361777,-0.9826721193284105,0.023920314683252987,0.022133366788803403,0.01651751983380476,-0.1809791725699742,1.0897321785436356,-1.4209006072557995,30.171586,-97.484674,0.1,A,4/5/2009
TXA3,0.01944503884380646,0.06871253611325592,0.028268918235312836,-0.1782597490945241,-3.484485704120879,-2.7797136057131855,0.018454230841314798,0.059127966886666654,0.016568302557160228,-0.2043023500584334,-1.1504807562223331,-1.606601153314211,0.0019650755561315876,0.02984919111680126,-0.030783938434376778,-0.3610701497750123,0.2392426243817948,-1.4782868351364176,30.072597,-99.378344,0.1,A,5/1/2012
TXA4,-0.03055513117112417,-0.06970909697044111,-0.08368465234052205,-0.5684918007125651,1.0907129723366276,-1.059277613969179,-0.018429117895249536,-0.048192061672671996,-0.04213254027016954,-0.46173119627033016,-2.4471673789910477,-1.5052636211994739,-0.028326279598709186,-0.06724755569990126,-0.07860946966447349,-0.5378424362066384,0.2294366247485201,-1.2546036002536114,32.4621,-99.7869,0.01,A,6/17/2020
TXB1,0.17322585160123544,0.2764356457178947,0.2260323302095626,1.0915197954422244,-5.977989775871648,-1.9302946409357782,0.16973828770956748,0.27571962952837664,0.21139379198850844,0.9390930347716705,-6.570174145190613,-1.660433713297187,0.1646235796945516,0.2649000486212909,0.22526328980023388,0.9624503434995558,-3.6478402435374213,-1.1159326051012055,31.77193333,-95.12248333,6.0,B,9/13/2011
TXB2,-0.020008008050346537,-0.04474181828398172,0.009330933831359727,-0.2950411162259923,-3.1283939890036203,0.1330620242636161,-0.02702806569117071,-0.05529563420256037,-0.01686125920454447,-0.3230520954113017,-2.498470008650108,0.2572185080719355,-0.019556112777949462,-0.04098860144178159,0.0063475418283097254,-0.28118585280665725,-4.492515839612207,-1.5608147755278359,33.1798925,-97.0771355,0.5,B,3/9/2014
TXB3,-0.017884791908398884,-0.0401657035506347,-0.06964351252996037,-0.5332034328853397,-2.4628928599946254,-5.211206183880534,-0.025238027099216763,-0.05322251521110519,-0.09689267191302324,-0.6153447752173596,-0.5034821328805986,-5.426275326013482,-0.022253307444869246,-0.04516609651830232,-0.09150201319869797,-0.5740753354161792,-3.1471445212101528,-6.380466037083949,34.866567,-100.773039,2.0,B,6/10/2010
TXB4,0.07199278724838905,0.12804102469728135,0.11828588050151626,0.2091268410933054,-3.540158651503013,-0.2699358489425144,0.06604939847338312,0.1353473259760697,0.11654923183269997,0.24473057202354137,-5.289473441803948,-1.6964890339905039,0.06787015896369794,0.13586621291295825,0.10306871724366204,0.19082056509359685,-6.08329961277363,-2.656466442657105,32.9438646,-95.6541604,0.3,B,7/6/2014
TXC1,0.01801154381719997,0.01795002423635074,0.0040885941076882,-0.27953260564407845,-1.3034691564989993,-1.6680304229837721,0.023466696796265996,0.032232930665551385,0.02674325294321824,-0.18477375076904393,-3.3884313080073585,-2.7119241624834904,0.006886792155536525,0.0070505751184447695,-0.01881608894455709,-0.3497996636605211,0.3505362415511523,-1.925536138407759,29.97104183,-98.48918381,10.0,C,5/9/2009
TXC2,-0.009363435474133309,0.006017448871783136,-0.07243399500135202,-0.5070821711912875,-2.2172336704177864,-5.5667792008953105,-0.014105019471800675,-0.0036744923089752127,-0.08665455811817017,-0.5467408215250678,-2.407234639870002,-7.296179996403924,-0.014529941772881687,-0.003772613950029649,-0.08727605049237624,-0.5509462452188582,-3.49583883613367,-6.841011756141308,35.479,-100.1176,35.0,C,5/6/2019
TXC3,0.08795287732282943,0.14302814738568248,0.08529050576360234,0.02310925184299996,-0.9769568134191045,-1.9674280903065378,0.12317876381945306,0.2009047561463948,0.1737417191409075,0.4456804547017774,-5.871008566234242,-2.293073660244807,0.10771898932855498,0.1739598950314825,0.14059482888623628,0.3909821594340989,-5.891938882215149,-3.048211619809659,33.03506,-95.66788,60.0,C,11/30/2008
