Site,250m_16_days_EVI-0,250m_16_days_NDVI-0,Fpar_500m-0,Lai_500m-0,LST_Day_1km-0,LST_Night_1km-0,250m_16_days_EVI-1,250m_16_days_NDVI-1,Fpar_500m-1,Lai_500m-1,LST_Day_1km-1,LST_Night_1km-1,250m_16_days_EVI-2,250m_16_days_NDVI-2,Fpar_500m-2,Lai_500m-2,LST_Day_1km-2,LST_Night_1km-2,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,DATE,_classes
NRG21,-0.076227576,-0.140230033,-0.075397614,-0.284233738,-0.1270946,-1.175056145,-0.069803133,-0.116857936,-0.093336666,-0.342753005,-0.245471844,-1.257337408,-0.068391032,-0.115924645,-0.093113056,-0.364554712,3.353846761,-0.123821352,45.71650698,-107.0561115,52010,4,9/2/2020,1
NRG8,0.024813006,0.053708104,-0.032023424,-0.164197466,-2.062363686,-0.139439187,0.029319175,0.071835521,-0.028726194,-0.18043387,-2.450367368,-0.788468546,0.036761419,0.0889107,-0.006980486,-0.140480067,0.171669356,0.709531285,46.30433692,-108.3931119,30030,4,9/2/2020,1
NWG48,-0.021092286,-0.048921991,-0.010317189,-0.167954321,2.226813882,1.247091935,-0.029840091,-0.07219428,-0.02233833,-0.180392323,0.572112948,0.342467093,-0.020875018,-0.044325989,0.008859461,-0.144378998,2.492109553,0.887102496,46.85423,-120.7988,74800,4,8/31/2020,1
SWG64,0.098735255,0.275824132,0.116329667,0.237709119,8.289864198,9.680051883,0.103754738,0.28807788,0.114777576,0.263125182,5.227748247,8.105776183,0.109587957,0.291716179,0.14573007,0.334299735,5.969308688,8.813638142,33.98054523,-111.1835109,6106,4,8/25/2020,1
SWG28,-0.004029724,0.017712552,-0.079234761,-0.233975787,15.46325263,9.092083452,0.00835575,0.045146655,-0.033670174,-0.146026136,11.65517591,7.833970347,0.007301176,0.042307874,-0.031554095,-0.139319374,13.1850847,8.569843101,34.74034522,-113.2135113,5000,4,8/24/2020,1
SWB25,0.025689429,0.052205708,0.028728939,0.090797003,0.484419342,1.296273417,0.036910127,0.063446344,0.056737916,0.428678647,-0.583044919,1.146366737,0.027345558,0.063170733,0.055466291,0.322140479,-0.268221584,0.55453676,36.10280657,-92.23625655,9.8,1,8/23/2020,0
SWL6,-0.067093025,-0.121841541,-0.142107665,-0.489680791,9.009581912,3.892267758,-0.061428089,-0.107935772,-0.123163047,-0.445859963,5.408928596,2.694136057,-0.062158651,-0.10828373,-0.119025243,-0.438147714,7.213689396,3.303164315,34.79687,-113.2231,12500,4,8/23/2020,1
GBG12,-0.021887293,-0.034529066,-0.000471997,-0.031085192,-11.922907,-4.963621165,-0.036107066,-0.0651981,-0.036205393,-0.10528296,-15.03813532,-7.285162667,-0.025946418,-0.051993457,-0.022906228,-0.070778042,-12.79792814,-6.010293821,40.60637611,-110.7088115,89765,4,8/21/2020,1
SWL39,-0.021300824,-0.046654206,-0.107143157,-0.437699129,8.12351959,8.681853427,-0.007164659,-0.024085875,-0.069203692,-0.368493766,5.076266123,6.793743534,-0.00654524,-0.021444866,-0.058140397,-0.337329416,6.203110265,7.717900093,33.09259514,-110.5752107,19506,4,8/21/2020,1
GBL47,-0.047020019,-0.068497986,-0.048923253,-0.210057666,-5.38821376,-1.66844071,-0.061239791,-0.099167021,-0.084656649,-0.284255433,-8.50344208,-3.989982212,-0.051079144,-0.085962378,-0.071357483,-0.249750515,-6.263234893,-2.715113365,40.60637611,-110.7088115,89765,4,8/21/2020,1
SWL5,-0.032564088,-0.067355494,-0.112209706,-0.445827888,10.00318213,8.126801896,-0.018682533,-0.037255513,-0.060406492,-0.348696861,5.444249323,6.426146116,-0.016304391,-0.030505093,-0.042822936,-0.319415584,7.0954854,7.473392321,34.04657517,-112.5430112,12252,4,8/20/2020,1
NOG69,0.004736423,0.030817374,0.110169185,0.351520111,-1.179973441,0.454283106,-0.009684253,0.006107018,0.052712157,0.121228155,-3.394690732,-0.335028333,0.001620861,0.038396998,0.106850061,0.344359374,-1.145694827,0.675138819,39.53637504,-122.9389135,12283.8,4,8/19/2020,1
NWC25,-0.000540109,0.044941195,-0.117843153,-0.436385811,6.113296212,1.547207733,-0.007572281,0.031205446,-0.139072756,-0.461280105,4.47678437,0.18695871,0.001925567,0.059486731,-0.114451772,-0.423723215,6.738644439,0.610406068,44.86623575,-119.3646138,99,2,8/19/2020,0
NOG24,-0.159770027,-0.364411506,-0.331055216,-1.171882228,0.140092719,-6.61588553,-0.178837263,-0.406439175,-0.35524444,-1.210423117,-3.319348475,-8.702047252,-0.165841302,-0.369698379,-0.336324907,-1.185773783,1.144887942,-7.039577393,41.02865537,-120.2813463,84817,4,8/18/2020,1
NOL80,0.153219623,0.400967033,0.335111891,1.699807415,-7.301126727,3.385134349,0.159196382,0.406642312,0.325851086,1.68039657,-7.99498793,3.077395599,0.156032575,0.407309992,0.333721181,1.79182023,-7.197312405,3.464194033,38.01833823,-122.8389022,4929,4,8/18/2020,1
NWG3,-0.067269645,-0.138177218,-0.039007588,-0.216349095,0.222934761,0.891363609,-0.064053745,-0.120264551,-0.021286937,-0.200114482,0.665322591,0.20731631,-0.053952633,-0.099355861,0.000249108,-0.13998936,0.954485793,0.564293338,48.83994598,-119.5763147,17988,4,8/18/2020,1
SWL70,0.011402396,0.096115491,0.06645961,0.036136616,0.105794386,0.839938354,0.018592697,0.106954096,0.063657758,0.038802554,-3.704180837,-1.112785904,0.022653988,0.11076923,0.088964573,0.109853859,-2.509729948,-0.091897369,33.55841528,-109.0927104,35371,4,8/18/2020,1
NOG29,0.053348434,0.09723009,0.053225475,0.166863059,3.037479739,2.800248139,0.050394522,0.099428995,0.052264417,0.18914639,1.951343746,2.112840532,0.0503184,0.095448658,0.049656856,0.14809669,3.979926514,3.028264668,38.54967201,-122.3796803,5000,4,8/17/2020,1
NOG35,0.032621603,0.083211315,0.018786792,0.030841936,3.337494317,2.794445834,0.031934445,0.086887383,0.020178053,0.055305965,2.04571542,2.033256706,0.032442024,0.086857437,0.023862015,0.031439843,3.997175366,2.983722088,38.50393738,-122.337262,305651.2,4,8/17/2020,1
NOG61,-0.022694253,-0.002213241,0.084041336,0.155105658,-3.416850017,-1.405072394,-0.028526266,-0.022223182,0.038536101,-0.03296359,-5.63690567,-2.309053814,-0.020106953,0.016019466,0.093115968,0.189846328,-3.366359158,-1.412900327,40.12537507,-123.0727136,328363,4,8/17/2020,1
NOG81,0.058121908,0.138746637,0.111791103,0.554399431,2.29852681,3.227575604,0.053547567,0.139382836,0.085731225,0.451525416,1.034288594,2.38202647,0.059320997,0.141295772,0.114735574,0.583656496,3.075935887,3.299055064,38.67282296,-123.0780334,55209,4,8/17/2020,1
NRA40,0.016313366,0.018081294,-0.124583952,-0.61765776,-4.75087616,-0.934535458,0.016845592,0.013781261,-0.124583952,-0.61765776,-5.390138529,-2.037733083,0.02728173,0.040393313,-0.124583952,-0.61765776,-4.438516114,-1.41922623,46.79491257,-113.744335,0.25,0,8/17/2020,0
